Compound Name,PubChem ID,Molecular Weight (g/mol),H-Donors,H-Acceptors,LogP,Drug Possibility,Lipinski Violations,Number of Atoms,Molecular Formula,Number of Bonds,Number of Rings,Topological Polar Surface Area,Rotatable Bonds,Number of Heavy Atoms,Number of Aromatic Rings,Number of Saturated Rings,Number of Aliphatic Rings,Number of Bridge Head Atoms,Percent of sp^3 Hybridization,Surface Area,Max Partial Charge,Hall Kier Alpha
"3,7-dimethylocta-2,6-dienyl phosphono hydrogen phosphate",734,314.211,3,4,2.9054,True,None,19,C10H20O7P2,18,0,113.29000000000002,8,19,0,0,0,0,0.6,112.35353706,0.48091633,-0.26
"phosphono 3,7,11,15-tetramethylhexadeca-2,6,10,14-tetraenyl hydrogen phosphate",735,450.449,3,4,6.3584,False,Octanol-water partition coefficient (LogP) > 5),29,C20H36O7P2,28,0,113.29000000000002,14,29,0,0,0,0,0.6,174.62375214,0.48091633,-0.78
"3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-one",736,178.14,4,6,-3.0132,True,None,12,C6H10O6,12,1,107.22000000000001,1,12,0,1,1,0,0.8333333333333334,68.01013278,0.45504464,-0.69
"[3,4,5-trihydroxy-6-(phosphonooxymethyl)oxan-2-yl] dihydrogen phosphate",737,340.114,7,8,-2.9874,False,Hydrogen bond donors > 5),20,C6H14O12P2,20,1,203.43999999999997,5,20,0,1,1,0,1.0,111.55762375,0.47152163,0.06
"2,5-diamino-5-oxopentanoic acid",738,146.146,3,3,-1.3362,True,None,10,C5H10N2O3,9,0,106.41,4,10,0,0,0,0,0.6,57.99607883,0.48008629,-1.1
"3-amino-6-(hydroxymethyl)oxane-2,4,5-triol",739,179.172,5,6,-3.255,True,None,12,C6H13NO5,12,1,116.17000000000002,1,12,0,1,1,0,1.0,69.18850138,0.39356653,-0.24
"[3-amino-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] dihydrogen phosphate",740,259.151,6,7,-3.138,False,Hydrogen bond donors > 5),16,C6H14NO8P,16,1,162.7,3,16,0,1,1,0,1.0,90.64589104,0.47148275,-0.09
"5-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-5-oxopent-3-enoic acid",741,879.625,10,20,-1.3044,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),56,C26H40N7O19P3S,58,3,400.92999999999995,22,56,2,1,1,0,0.5769230769230769,320.14450164,0.48100213,-3.23
4-amino-5-oxopentanoic acid,742,131.131,2,3,-0.6226,True,None,9,C5H9NO3,8,0,80.39,4,9,0,0,0,0,0.6,52.65618813,0.48122951,-0.9
pentanedioic acid,743,132.115,2,2,0.3259,True,None,9,C5H8O4,8,0,74.6,4,9,0,0,0,0,0.6,52.11053119,0.48123023,-1.06
"5-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-5-oxopentanoic acid",744,881.641,10,20,-1.0804,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),56,C26H42N7O19P3S,58,3,400.92999999999995,23,56,2,1,1,0,0.6538461538461539,320.83410468,0.48123024,-2.97
2-amino-5-[[1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,745,307.328,6,6,-2.2061,False,Hydrogen bond donors > 5),20,C10H17N3O6S,19,0,158.82000000000002,9,20,0,0,0,0,0.6,119.85296769,0.48008629,-1.81
2-amino-5-[[1-(carboxymethylamino)-3-(disulfanyl)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,746,339.395,6,7,-1.5579,False,Hydrogen bond donors > 5),21,C10H17N3O6S2,20,0,158.82000000000002,10,21,0,0,0,0,0.6,129.3760398,0.48008629,-1.46
"2-amino-5-[[1-(carboxymethylamino)-1-oxo-3-sulfonatosulfanylpropan-2-yl]amino]-1-hydroxy-1,5-dioxopentane",747,386.384,5,9,-2.9425,True,None,24,C10H16N3O9S2-,23,0,216.01999999999998,11,24,0,0,0,0,0.6,139.84960915,0.73925634,-1.9
2-amino-5-[[1-(carboxymethylamino)-1-oxo-3-sulfosulfanylpropan-2-yl]amino]-5-oxopentanoic acid,748,387.392,6,8,-2.5999,False,Hydrogen bond donors > 5),24,C10H17N3O9S2,23,0,213.18999999999997,11,24,0,0,0,0,0.6,139.84960915,0.48008629,-1.9
2-amino-5-[[1-[[2-[3-(4-aminobutylamino)propylamino]-2-oxoethyl]amino]-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,749,434.563,8,8,-2.4559,False,Hydrogen bond donors > 5),29,C17H34N6O5S,28,0,188.67,17,29,0,0,0,0,0.7647058823529411,176.0529438,0.48008629,-1.89
2-aminoacetic acid,750,75.067,2,2,-0.9703,True,None,5,C2H5NO2,4,0,63.31999999999999,1,5,0,0,0,0,0.5,29.39983969,0.48029713,-0.57
"2,3-dihydroxypropanal",751,90.078,2,3,-1.4615,True,None,6,C3H6O3,5,0,57.53,2,6,0,0,0,0,0.6666666666666666,35.21912486,0.39321363,-0.41
"2,3-dihydroxypropanoic acid",752,106.077,3,3,-1.5758,True,None,7,C3H6O4,6,0,77.76,2,7,0,0,0,0,0.6666666666666666,40.01335861,0.47926125,-0.61
"propane-1,2,3-triol",753,92.094,3,3,-1.6681,True,None,6,C3H8O3,5,0,60.69,2,6,0,0,0,0,1.0,35.85183651,0.39359332,-0.12
"2,3-dihydroxypropyl dihydrogen phosphate",754,172.073,4,4,-1.5511,True,None,10,C3H9O6P,9,0,107.22000000000001,4,10,0,0,0,0,1.0,57.30922617,0.46917031,0.03
"2-[4-(3,7,12-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoylamino]acetic acid",755,465.631,5,5,2.5649,True,None,33,C26H43NO6,36,4,127.09000000000002,6,33,0,4,4,0,0.9230769230769231,196.88932067,0.47993045,-1.18
2-hydroxyacetaldehyde,756,60.052,1,2,-0.8224,True,None,4,C2H4O2,3,0,37.3,1,4,0,0,0,0,0.5,24.05994899,0.38889883,-0.37
2-hydroxyacetic acid,757,76.051,2,2,-0.9367,True,None,5,C2H4O3,4,0,57.53,1,5,0,0,0,0,0.5,28.85418275,0.47954078,-0.57
"[6-[6-[5-acetamido-6-[5-acetamido-6-[(3-acetamido-4-amino-4-oxobutanoyl)amino]-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl [3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] hydrogen phosphate",758,1187.015,20,30,-12.8722,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),80,C42H71N6O31P,84,5,581.1800000000001,23,80,0,5,5,0,0.8571428571428571,452.53539167,0.47419818,-3.91
"[6-[6-[5-acetamido-6-[5-acetamido-6-[(3-acetamido-4-amino-4-oxobutanoyl)amino]-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl dihydrogen phosphate",759,983.821,17,24,-10.8402,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),66,C34H58N5O26P,69,4,493.16,19,66,0,4,4,0,0.8529411764705882,373.09474366,0.46917069,-3.22
oxaldehydic acid,760,74.035,1,2,-0.7301,True,None,5,C2H2O3,4,0,54.370000000000005,1,5,0,0,0,0,0.0,28.22147109,0.47571095,-0.86
"[5-(2-amino-6-oxo-3H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",761,363.223,6,10,-2.5697,False,Hydrogen bond donors > 5),24,C10H14N5O8P,26,3,206.04,4,24,2,1,1,0,0.5,132.46507186,0.46917069,-1.86
"[[5-(2-amino-6-oxo-3H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",762,523.181,8,14,-2.3357,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),32,C10H16N5O14P3,34,3,299.0999999999999,8,32,2,1,1,0,0.5,175.37985117,0.48954298,-1.56
2-(diaminomethylideneamino)acetic acid,763,117.108,3,2,-1.6556,True,None,8,C3H7N3O2,7,0,101.69999999999999,2,8,0,0,0,0,0.3333333333333333,45.99999499,0.47986611,-1.26
"2-amino-3,7-dihydropurin-6-one",764,151.129,3,4,-0.7716,True,None,11,C5H5N5O,12,2,100.45,0,11,2,0,0,0,0.0,60.48258481,0.36924774,-1.85
"2-amino-9-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one",765,283.244,5,9,-2.6867,True,None,20,C10H13N5O5,22,3,159.51000000000002,2,20,2,1,1,0,0.5,111.0076822,0.39356685,-2.01
[5-(2-amino-6-oxo-3H-purin-9-yl)-4-hydroxy-2-[[hydroxy(phosphonooxy)phosphoryl]oxymethyl]oxolan-3-yl] phosphono hydrogen phosphate,766,603.16,9,15,-2.2187,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),36,C10H17N5O17P4,38,3,345.62999999999994,10,36,2,1,1,0,0.5,196.83724083,0.48107254,-1.41
carbonic acid,767,62.024,2,1,0.2224,True,None,4,CH2O3,3,0,57.53,0,4,0,0,0,0,0.0,22.48924063,0.50275594,-0.73
formonitrile,768,27.026,0,1,0.13978,True,None,2,CHN,1,0,23.79,0,2,0,0,0,0,0.0,13.13183071,0.20196725,-0.51
hydrogen carbonate,769,61.016,1,2,-1.1123,True,None,4,CHO3-,3,0,60.36,0,4,0,0,0,0,0.0,22.48924063,0.56517873,-0.73
"3-[18-(2-carboxyethyl)-13-ethenyl-8-(1-hydroxy-5,9,13-trimethyltetradeca-4,8,12-trienyl)-3,7,12,17-tetramethyl-1,2,3,6,7,8,9,12,17,18-decahydroporphyrin-21,22,23,24-tetraid-2-yl]propanoic acid;iron",770,848.951,3,3,12.3111,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5),59,C49H68FeN4O5-4,62,5,151.23,17,59,0,3,5,8,0.5918367346938775,364.52170392,0.68183602,-3.56051948
"3-[18-(2-carboxyethyl)-13-ethenyl-8-(1-hydroxy-5,9,13-trimethyltetradeca-4,8,12-trienyl)-3,7,12,17-tetramethyl-1,2,3,6,7,8,9,12,17,18,21,22,23,24-tetradecahydroporphyrin-2-yl]propanoic acid",771,797.138,7,7,9.1772,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Octanol-water partition coefficient (LogP) > 5),58,C49H72N4O5,62,5,142.95,17,58,0,3,5,8,0.5918367346938775,347.92608365,0.48123025,-4.08
"6-[6-[6-[5-acetamido-4,6-dihydroxy-2-(sulfooxymethyl)oxan-3-yl]oxy-2-carboxy-4-hydroxy-5-sulfooxyoxan-3-yl]oxy-2-(hydroxymethyl)-5-(sulfoamino)-4-sulfooxyoxan-3-yl]oxy-3,4-dihydroxy-5-sulfooxyoxane-2-carboxylic acid",772,1134.934,15,30,-10.7119,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),70,C26H42N2O37S5,73,4,610.4900000000001,21,70,0,4,4,0,0.8846153846153846,391.14121055,0.47924272,-2.76
2-amino-3-(1H-imidazol-5-yl)propanoic acid,773,155.157,3,3,-0.6359,True,None,11,C6H9N3O2,11,1,92.0,3,11,1,0,0,0,0.3333333333333333,63.25068441,0.48007698,-1.36
2-(1H-imidazol-5-yl)ethanamine,774,111.148,2,2,-0.0891,True,None,8,C5H9N3,8,1,54.7,2,8,1,0,0,0,0.4,47.92998645,0.34845836,-0.83
2-amino-3-(1H-imidazol-5-yl)propanal,775,139.158,2,3,-0.5216,True,None,10,C6H9N3O,10,1,71.77,3,10,1,0,0,0,0.3333333333333333,58.45645066,0.34843808,-1.16
2-amino-3-(1H-imidazol-5-yl)propan-1-ol,776,141.174,3,3,-0.7282,True,None,10,C6H11N3O,10,1,74.92999999999999,3,10,1,0,0,0,0.5,59.08916231,0.39475091,-0.87
(4-amino-2-methylpyrimidin-5-yl)methanol,777,139.158,2,4,-0.14048,True,None,10,C6H9N3O,10,1,72.03,1,10,1,0,0,0,0.3333333333333333,58.73470776,0.39147603,-1.16
2-amino-4-sulfanylbutanoic acid,778,135.188,3,3,-0.2818,True,None,8,C4H9NO2S,7,0,63.31999999999999,3,8,0,0,0,0,0.75,53.28479058,0.48008607,-0.22
2-amino-4-hydroxybutanoic acid,779,119.12,3,3,-1.2193,True,None,8,C4H9NO3,7,0,83.55,3,8,0,0,0,0,0.75,46.92395767,0.48008535,-0.61
"2-(2,5-dihydroxyphenyl)acetic acid",780,168.148,3,3,0.7249,True,None,12,C8H8O4,12,1,77.76,2,12,1,0,0,0,0.125,68.7055107,0.50795137,-1.71
thiocyanic acid,781,59.093,1,2,0.39728,True,None,3,CHNS,2,0,23.79,0,3,0,0,0,0,0.0,24.28689737,0.18542714,-0.16
"3-(2,5-dioxoimidazolidin-4-yl)propanoic acid",782,172.14,3,3,-0.9408,True,None,12,C6H8N2O4,12,1,95.5,3,12,0,1,1,0,0.5,67.93665487,0.48122926,-1.59
hydrogen peroxide,784,34.014,2,2,0.0174,True,None,2,H2O2,1,0,40.46,0,2,0,0,0,0,0.0,11.89207173,0.25455743,-0.08
"benzene-1,4-diol",785,110.112,2,2,1.0978,True,None,8,C6H6O2,8,1,40.46,0,8,1,0,0,0,0.0,47.01987062,0.50796224,-1.18
(4-hydroxy-3-methylbut-2-enyl) phosphono hydrogen phosphate,786,262.091,4,5,0.1513,True,None,15,C5H12O8P2,14,0,133.52,6,15,0,0,0,0,0.6,86.01266327,0.48091635,-0.04
hydroxylamine,787,33.03,2,2,-0.6657,True,None,2,H3NO,1,0,46.25,0,2,0,0,0,0,0.0,12.46247186,0.31964179,-0.08
3-[5-[[3-(2-carboxyethyl)-5-[[3-(2-carboxyethyl)-5-[[3-(2-carboxyethyl)-4-(carboxymethyl)-5-(hydroxymethyl)-1H-pyrrol-2-yl]methyl]-4-(carboxymethyl)-1H-pyrrol-2-yl]methyl]-4-(carboxymethyl)-1H-pyrrol-2-yl]methyl]-4-(carboxymethyl)-1H-pyrrol-3-yl]propanoic acid,788,854.819,13,9,1.8409,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5),61,C40H46N4O17,64,4,381.79,27,61,4,0,0,0,0.4,344.63821874,0.48122193,-7.16
2-hydrosulfonylethanamine,789,109.15,2,3,-1.4435,True,None,6,C2H7NO2S,5,0,60.16,2,6,0,0,0,0,1.0,38.10143886,0.3294724,-0.09
"3,7-dihydropurin-6-one",790,136.114,2,3,-0.3538,True,None,10,C5H4N4O,11,2,74.43,0,10,2,0,0,0,0.0,55.14269412,0.33867395,-1.65
2-amino-3-methylpentanoic acid,791,131.175,2,2,0.4444,True,None,9,C6H13NO2,8,0,63.31999999999999,3,9,0,0,0,0,0.8333333333333334,54.85960815,0.48007874,-0.57
[3-(1H-imidazol-5-yl)-2-oxopropyl] dihydrogen phosphate,792,220.121,3,4,-0.3694,True,None,14,C6H9N2O5P,14,1,112.51000000000002,5,14,1,0,0,0,0.3333333333333333,79.36818337,0.46950647,-1.01
2-hydroxy-3-(1H-imidazol-5-yl)propanoic acid,793,156.141,3,3,-0.6023,True,None,11,C6H8N2O3,11,1,86.21000000000001,3,11,1,0,0,0,0.3333333333333333,62.70502747,0.479318,-1.36
3-(1H-imidazol-5-yl)-2-oxopropanoic acid,794,154.125,2,3,-0.3941,True,None,11,C6H6N2O3,11,1,83.05,3,11,1,0,0,0,0.16666666666666666,62.07231582,0.47549114,-1.65
1H-imidazole,795,68.079,1,1,0.4097,True,None,5,C3H4N2,5,1,28.68,0,5,1,0,0,0,0.0,29.86021152,0.35117679,-0.79
2-iminobutanedioic acid,796,131.087,3,3,-0.43453,True,None,9,C4H5NO4,8,0,98.45,3,9,0,0,0,0,0.25,50.43094007,0.48094108,-1.39
"[3,4-dihydroxy-5-(6-oxo-3H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate",797,348.208,5,9,-2.1519,True,None,23,C10H13N4O8P,25,3,180.01999999999998,4,23,2,1,1,0,0.5,127.12518116,0.46917069,-1.66
1H-indole,798,117.151,1,0,2.1679,True,None,9,C8H7N,10,2,15.79,0,9,2,0,0,0,0.0,53.32222807,0.36117629,-1.24
"[2,3-dihydroxy-3-(1H-indol-3-yl)propyl] dihydrogen phosphate",799,287.208,5,4,0.6715,True,None,19,C11H14NO6P,20,2,123.01000000000002,5,19,2,0,0,0,0.2727272727272727,108.25714533,0.46917071,-1.21
2-(1H-indol-3-yl)acetaldehyde,800,159.188,1,1,1.9093,True,None,12,C10H9NO,13,2,32.86,2,12,2,0,0,0,0.1,70.2136344,0.36087626,-1.57
2-(1H-indol-3-yl)acetate,801,174.179,1,2,0.4603,True,None,13,C10H8NO2-,14,2,55.92,2,13,2,0,0,0,0.1,75.00786815,0.54980482,-1.77
2-(1H-indol-3-yl)acetic acid,802,175.187,2,1,1.795,True,None,13,C10H9NO2,14,2,53.09,2,13,2,0,0,0,0.1,75.00786815,0.48098522,-1.77
3-(1H-indol-3-yl)-2-oxopropanoic acid,803,203.197,2,2,1.3641,True,None,15,C11H9NO3,16,2,70.16,3,15,2,0,0,0,0.09090909090909091,85.53433237,0.47549189,-2.1
"9-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one",804,268.229,4,8,-2.2689,True,None,19,C10H12N4O5,21,3,133.49,2,19,2,1,1,0,0.5,105.66779151,0.39356685,-1.81
"(2,3,5,6-tetrahydroxy-4-phosphonooxycyclohexyl) dihydrogen phosphate",805,340.114,8,8,-3.6006,False,Hydrogen bond donors > 5),20,C6H14O12P2,20,1,214.43999999999997,4,20,0,1,1,0,1.0,111.23831227,0.46953845,0.06
"(2,3,5-trihydroxy-4,6-diphosphonooxycyclohexyl) dihydrogen phosphate",806,420.093,9,9,-3.4836,False,Hydrogen bond donors > 5),24,C6H15O15P3,24,1,260.96999999999997,6,24,0,1,1,0,1.0,132.69570193,0.46953886,0.21
molecular iodine,807,253.808,0,0,1.7714,True,None,2,I2,1,0,0.0,0,2,0,0,0,0,0.0,36.93454135,0.0,1.46
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methylpropanethioate",808,837.632,9,19,-0.6793,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),53,C25H42N7O17P3S,55,3,363.63000000000005,20,53,2,1,1,0,0.68,305.51340671,0.4807077,-2.44
"5-(1-carboxyethenoxy)-6-hydroxycyclohexa-1,3-diene-1-carboxylic acid",809,226.184,3,4,-0.0884,True,None,16,C10H10O6,16,1,104.06000000000002,4,16,0,0,1,0,0.2,90.76838049,0.4778013,-2.08
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-methylbutanethioate",810,851.659,9,19,-0.2892,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),54,C26H44N7O17P3S,56,3,363.63000000000005,21,54,2,1,1,0,0.6923076923076923,311.87834882,0.4807077,-2.44
2-methylidenebutanedioic acid,811,130.099,2,2,0.1019,True,None,9,C5H6O4,8,0,74.6,3,9,0,0,0,0,0.2,51.42092816,0.48098316,-1.32
"[[3,4-dihydroxy-5-(6-oxo-3H-purin-9-yl)oxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",812,508.166,7,13,-1.9179,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),31,C10H15N4O14P3,33,3,273.0799999999999,8,31,2,1,1,0,0.5,170.03996047,0.48954298,-1.36
potassium(1+),813,39.098,0,0,-2.996,True,None,1,K+,0,0,0.0,0,1,0,0,0,0,0.0,50.29104246,1.0,1.63636364
potassium hydride,814,40.106,0,0,-0.6485,True,None,1,HK,0,0,0.0,0,1,0,0,0,0,0.0,50.29104246,nan,1.63636364
"2-(aminomethyl)-6-[4,6-diamino-3-[4-amino-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-hydroxycyclohexyl]oxyoxane-3,4,5-triol",815,484.503,11,15,-7.2914,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),33,C18H36N4O11,35,3,282.60999999999996,6,33,0,3,3,0,1.0,189.29915348,0.39356728,-0.6
"5-amino-2-(aminomethyl)-6-[4,6-diamino-3-[4-amino-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-hydroxycyclohexyl]oxyoxane-3,4-diol",816,483.519,11,15,-7.325,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),33,C18H37N5O10,35,3,288.3999999999999,6,33,0,3,3,0,1.0,189.84481043,0.39356728,-0.6
"4,5,6,7,8-pentahydroxy-2-oxooctanoic acid",817,238.192,6,7,-3.5339,False,Hydrogen bond donors > 5),16,C8H14O8,15,0,155.51999999999998,7,16,0,0,0,0,0.75,90.38229254,0.47549978,-1.06
"4,5,6,7-tetrahydroxy-2-oxo-8-phosphonooxyoctanoic acid",818,318.171,7,8,-3.4169,False,Hydrogen bond donors > 5),20,C8H15O11P,19,0,202.04999999999998,9,20,0,0,0,0,0.75,111.8396822,0.47549978,-0.91
"6-(1,2-dihydroxyethyl)-4,5-dihydroxy-2-[[6-[[3-hydroxy-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-6-phosphonooxyoxan-2-yl]methoxy]-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-3-phosphonooxyoxan-2-yl]methoxy]oxane-2-carboxylic acid",819,1625.904,16,25,8.5431,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10); Octanol-water partition coefficient (LogP) > 5),110,C76H142N2O30P2,112,3,509.8400000000001,65,110,0,3,3,0,0.9342105263157895,651.24015196,0.47725573,-2.99
"2-[2-carboxy-6-(1,2-dihydroxyethyl)-2-[[5-(3-dodecanoyloxytetradecanoylamino)-6-[[3-hydroxy-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-6-phosphonooxyoxan-2-yl]methoxy]-4-(3-hydroxytetradecanoyloxy)-3-phosphonooxyoxan-2-yl]methoxy]-5-hydroxyoxan-4-yl]oxy-6-(1,2-dihydroxyethyl)-4,5-dihydroxyoxane-2-carboxylic acid",820,2028.388,19,32,10.684,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10); Octanol-water partition coefficient (LogP) > 5),138,C96H176N2O38P2,141,4,632.3600000000002,81,138,0,4,4,0,0.9270833333333334,815.57954424,0.47725573,-4.21
"2-[2-carboxy-6-(1,2-dihydroxyethyl)-2-[[5-(3-dodecanoyloxytetradecanoylamino)-6-[[3-hydroxy-6-[hydroxy(phosphonooxy)phosphoryl]oxy-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)oxan-2-yl]methoxy]-3-phosphonooxy-4-(3-tetradecanoyloxytetradecanoyloxy)oxan-2-yl]methoxy]-5-hydroxyoxan-4-yl]oxy-6-(1,2-dihydroxyethyl)-4,5-dihydroxyoxane-2-carboxylic acid",821,2318.728,19,35,16.053,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10); Octanol-water partition coefficient (LogP) > 5),157,C110H203N2O42P3,160,4,684.9600000000004,96,157,0,4,4,0,0.9272727272727272,930.62695707,0.48303512,-4.55
"2-[6-carboxy-2-(1,2-dihydroxyethyl)-4-hydroxy-6-[[6-[[3-hydroxy-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-6-phosphonooxyoxan-2-yl]methoxy]-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-3-phosphonooxyoxan-2-yl]methoxy]oxan-3-yl]oxy-6-(1,2-dihydroxyethyl)-4,5-dihydroxyoxane-2-carboxylic acid",822,1846.081,20,31,6.2122,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10); Octanol-water partition coefficient (LogP) > 5),125,C84H154N2O37P2,128,4,626.2900000000002,70,125,0,4,4,0,0.9285714285714286,734.71940529,0.47725573,-3.72
"2-[2,3-dihydroxypropoxy(hydroxy)phosphoryl]oxyethyl-trimethylazanium",823,258.231,3,5,-0.8206,True,None,16,C8H21NO6P+,15,0,96.22000000000001,8,16,0,0,0,0,1.0,95.42305338,0.47198515,-0.01
2-aminopentanoic acid,824,117.148,2,2,0.1984,True,None,8,C5H11NO2,7,0,63.31999999999999,3,8,0,0,0,0,0.8,48.49466603,0.48008645,-0.57
4-hydroxypyrrolidine-2-carboxylic acid,825,131.131,3,3,-1.2062,True,None,9,C5H9NO3,9,1,69.56,1,9,0,1,1,0,0.8,52.49304012,0.48007951,-0.61
2-amino-6-[[4-(2-aminopropanoylamino)-4-carboxybutanoyl]amino]heptanedioic acid,826,390.393,7,7,-2.1652,False,Hydrogen bond donors > 5),27,C15H26N4O8,26,0,222.14,13,27,0,0,0,0,0.6666666666666666,154.81825815,0.48008645,-2.73
"pentane-1,2,3,4,5-pentol",827,152.146,5,5,-2.9463,True,None,10,C5H12O5,9,0,101.15,4,10,0,0,0,0,1.0,58.17018825,0.39357914,-0.2
2-[[N'-(4-amino-4-carboxybutyl)carbamimidoyl]amino]butanedioic acid,828,290.276,6,5,-1.9893,False,Hydrogen bond donors > 5),20,C10H18N4O6,19,0,188.32999999999996,9,20,0,0,0,0,0.6,114.01596368,0.48116147,-2.36
2-amino-4-oxobutanoic acid,829,117.104,2,3,-1.0127,True,None,8,C4H7NO3,7,0,80.39,3,8,0,0,0,0,0.5,46.29124602,0.48007649,-0.9
2-amino-3-(2-diazoacetyl)oxypropanoic acid,830,173.128,2,4,-1.7579,True,None,12,C5H7N3O4,11,0,126.02,4,12,0,0,0,0,0.4,67.35200002,0.47998963,-1.72
2-(2-amino-2-carboxyethoxy)-2-hydroxyethenediazonium,831,174.136,3,5,-0.37512,True,None,12,C5H8N3O4+,11,0,120.92999999999999,4,12,0,0,0,0,0.4,67.67309299,0.47998963,-1.81
2-amino-4-oxo-4-phosphonooxybutanoic acid,832,213.082,4,5,-1.5757,True,None,13,C4H8NO7P,12,0,147.15,4,13,0,0,0,0,0.5,72.54286943,0.52648975,-0.95
